season,receiver,receiver_id,yards_gained,next_season_yards
1999,A.Connell,00-0003378,1121.0,756.0
1999,A.Freeman,00-0005562,1074.0,894.0
1999,A.Toomer,00-0016550,1183.0,1078.0
1999,B.Schroeder,00-0014489,1051.0,999.0
1999,C.Carter,00-0002721,1192.0,1253.0
1999,D.Scott,00-0014544,1012.0,819.0
1999,E.McCaffrey,00-0010650,1001.0,1313.0
1999,G.Crowell,00-0003700,1335.0,430.0
1999,I.Bruce,00-0002099,1028.0,1448.0
1999,J.Morton,00-0011727,1084.0,767.0
1999,J.Smith,00-0015218,1638.0,1213.0
1999,K.Johnson,00-0008561,1166.0,680.0
1999,M.Harrison,00-0007024,1637.0,1408.0
1999,M.Muhammad,00-0011795,1258.0,1183.0
1999,M.Robinson,00-0013888,1389.0,732.0
1999,M.Westbrook,00-0017470,1193.0,103.0
1999,P.Jeffers,00-0008300,1082.0,127.0
1999,Q.Ismail,00-0008059,1059.0,655.0
1999,R.Ismail,00-0008060,1090.0,352.0
1999,R.Moss,00-0011754,1394.0,1451.0
1999,R.Smith,00-0015290,1004.0,348.0
1999,T.Brown,00-0002058,1335.0,471.0
1999,T.Glenn,00-0006043,1135.0,922.0
1999,T.Martin,00-0010477,1012.0,371.0
1999,T.Mathis,00-0010539,1016.0,665.0
2000,D.Alexander,00-0000145,1265.0,470.0
2000,D.Boston,00-0001532,1072.0,1598.0
2000,E.Moulds,00-0011770,1275.0,906.0
2000,J.Horn,00-0007744,1340.0,1265.0
2000,K.McCardell,00-0010668,1207.0,1112.0
2000,T.Gonzalez,00-0006101,1160.0,919.0
2000,T.Holt,00-0007681,1596.0,1363.0
2000,T.Owens,00-0012478,1438.0,1412.0
2001,C.Conway,00-0003396,1125.0,852.0
2001,D.Jackson,00-0019663,1081.0,877.0
2001,D.Mason,00-0010500,1130.0,1012.0
2001,H.Ward,00-0017162,1003.0,1335.0
2001,J.Rice,00-0013639,1139.0,1211.0
2001,M.Booker,00-0001477,1078.0,1219.0
2001,P.Burress,00-0019642,1008.0,1327.0
2001,W.Jackson,00-0008210,1048.0,257.0
2002,C.Johnson,00-0020397,1166.0,1355.0
2002,D.Driver,00-0004541,1064.0,621.0
2002,K.Robinson,00-0020490,1240.0,896.0
2002,L.Coles,00-0018958,1266.0,1204.0
2002,P.Price,00-0013232,1252.0,838.0
2002,R.Gardner,00-0020525,1006.0,600.0
2003,A.Boldin,00-0022084,1377.0,623.0
2003,S.Moss,00-0020494,1105.0,838.0
2003,S.Smith,00-0020337,1078.0,60.0
2004,A.Johnson,00-0022044,1142.0,688.0
2004,A.Lelie,00-0021152,1084.0,770.0
2004,B.Stokley,00-0015754,1077.0,543.0
2004,D.Bennett,00-0019976,1247.0,738.0
2004,E.Kennison,00-0009163,1088.0,1102.0
2004,J.Walker,00-0021153,1382.0,27.0
2004,M.Clayton,00-0022725,1193.0,372.0
2004,N.Burleson,00-0021999,1008.0,328.0
2004,R.Wayne,00-0020498,1210.0,1062.0
2005,A.Bryant,00-0021191,1009.0,747.0
2005,A.Gates,00-0021547,1101.0,924.0
2005,C.Chambers,00-0020446,1118.0,677.0
2005,J.Galloway,00-0005720,1287.0,1057.0
2005,L.Fitzgerald,00-0022921,1409.0,941.0
2006,L.Evans,00-0022910,1294.0,849.0
2006,M.Colston,00-0024466,1038.0,1202.0
2006,M.Furrey,00-0019281,1086.0,664.0
2006,R.Williams,00-0022909,1310.0,121.0
2006,T.Houshmandzadeh,00-0020438,1081.0,1143.0
2007,B.Edwards,00-0023438,1289.0,881.0
2007,B.Engram,00-0004915,1147.0,489.0
2007,B.Marshall,00-0024334,1335.0,1268.0
2007,J.Cotchery,00-0022811,1129.0,860.0
2007,J.Witten,00-0022127,1145.0,952.0
2007,K.Curtis,00-0022001,1110.0,390.0
2007,K.Winslow,00-0022922,1108.0,428.0
2007,R.White,00-0023462,1202.0,1382.0
2007,W.Welker,00-0022427,1186.0,1167.0
2008,D.Bowe,00-0025410,1022.0,589.0
2008,G.Jennings,00-0024267,1294.0,1124.0
2008,S.Breaston,00-0025529,1003.0,712.0
2008,V.Jackson,00-0023496,1098.0,1167.0
2009,C.Ochocinco,00-0020397,1047.0,831.0
2009,D.Clark,00-0022165,1106.0,12.0
2009,M.Austin,00-0023921,1320.0,1041.0
2009,S.Holmes,00-0024240,1248.0,746.0
2009,S.Rice,00-0025431,1312.0,280.0
2010,B.Lloyd,00-0022097,1448.0,966.0
2010,H.Nicks,00-0027005,1052.0,1192.0
2010,M.Wallace,00-0026901,1257.0,1193.0
2011,A.Brown,00-0027793,1108.0,86.0
2011,A.Green,00-0027942,1057.0,6.0
2011,J.Graham,00-0027696,1310.0,982.0
2011,J.Nelson,00-0026176,1263.0,747.0
2011,N.Washington,00-0023367,1023.0,746.0
2011,R.Gronkowski,00-0027656,1327.0,790.0
2011,St.Johnson,00-0026364,1004.0,1044.0
2011,V.Cruz,00-0027265,1536.0,1092.0
2012,B.Hartline,00-0027077,1083.0,1016.0
2012,D.Bryant,00-0027902,1384.0,1233.0
2012,D.Thomas,00-0027874,1430.0,156.0
2012,E.Decker,00-0027690,1071.0,1288.0
2012,J.Jones,00-0027944,1198.0,449.0
2012,L.Moore,00-0023310,1041.0,457.0
2012,M.Crabtree,00-0026986,1105.0,284.0
2013,A.Jeffery,00-0029137,1423.0,1133.0
2013,H.Douglas,00-0026224,1068.0,558.0
2013,J.Edelman,00-0027150,1060.0,972.0
2013,J.Gordon,00-0029664,1646.0,303.0
2013,K.Allen,00-0030279,1053.0,783.0
2013,K.Wright,00-0029708,1079.0,715.0
2013,M.Floyd,00-0029638,1041.0,856.0
2013,P.Garcon,00-0026345,1346.0,752.0
2013,T.Hilton,00-0029608,1083.0,1345.0
2013,T.Smith,00-0027996,1136.0,767.0
2014,D.Hopkins,00-0030564,1210.0,1523.0
2014,E.Sanders,00-0027685,1406.0,1135.0
2014,G.Olsen,00-0025418,1009.0,1104.0
2014,G.Tate,00-0027891,1331.0,813.0
2014,J.Maclin,00-0026995,1318.0,1088.0
2014,K.Benjamin,00-0031359,1016.0,946.0
2014,M.Evans,00-0031408,1051.0,1211.0
2014,O.Beckham,00-0031235,1305.0,1367.0
2014,R.Cobb,00-0028002,1287.0,829.0
2015,A.Cooper,00-0031544,1082.0,1157.0
2015,A.Hurns,00-0030821,1031.0,477.0
2015,A.Robinson,00-0031428,1400.0,323.0
2015,B.Cooks,00-0031236,1138.0,1173.0
2015,D.Baldwin,00-0028434,1067.0,1128.0
2015,D.Walker,00-0024389,1090.0,800.0
2015,G.Barnidge,00-0026281,1043.0,614.0
2015,J.Landry,00-0031382,1159.0,1138.0
2015,J.Matthews,00-0031299,1001.0,804.0
2015,Jo.Brown,00-0031051,1003.0,517.0
2015,S.Watkins,00-0031325,1047.0,430.0
2016,K.Britt,00-0027006,1002.0,256.0
2016,M.Thomas,00-0032765,1137.0,37.0
2016,T.Kelce,00-0030506,1127.0,1038.0
2016,Ty.Williams,00-0032160,1059.0,728.0
2017,A.Thielen,00-0030035,1276.0,1375.0
2017,M.Jones,00-0029293,1101.0,508.0
2017,T.Hill,00-0033040,1183.0,1479.0
2018,D.Adams,00-0031381,1388.0,999.0
2018,G.Kittle,00-0033288,1379.0,1053.0
2018,J.Smith-Schuster,00-0033857,1385.0,552.0
2018,K.Golladay,00-0033932,1063.0,1190.0
2018,R.Woods,00-0030431,1219.0,1134.0
2018,S.Diggs,00-0031588,1023.0,1126.0
2018,T.Boyd,00-0033009,1028.0,1046.0
2018,Z.Ertz,00-0030061,1160.0,918.0
2019,C.Godwin,00-0033921,1335.0,840.0
2019,C.Kupp,00-0033908,1161.0,978.0
2019,C.McCaffrey,00-0033280,1005.0,146.0
2019,C.Sutton,00-0034348,1112.0,66.0
2019,D.Chark Jr.,00-0034777,1010.0,706.0
2019,D.Moore,00-0034827,1175.0,417.0
2019,D.Parker,00-0031547,1202.0,793.0
2019,D.Waller,00-0031610,1145.0,1198.0
2019,J.Brown,00-0031051,1060.0,458.0
2019,M.Gallup,00-0034764,1107.0,843.0
2019,M.Williams,00-0033536,1001.0,102.0
2019,T.Lockett,00-0032211,1057.0,1054.0
2020,C.Ridley,00-0034837,1383.0,281.0
2020,D.Metcalf,00-0035640,1303.0,967.0
2020,J.Jefferson,00-0036322,1404.0,1616.0
2020,R.Anderson,00-0032688,1098.0,519.0
2020,T.McLaurin,00-0035659,1118.0,1053.0
2021,C.Lamb,00-0036358,1116.0,1359.0
2021,D.Johnson,00-0035216,1160.0,137.0
2021,D.Mooney,00-0036309,1055.0,493.0
2021,D.Samuel,00-0035719,1397.0,632.0
2021,H.Renfrow,00-0034983,1038.0,330.0
2021,J.Chase,00-0036900,1455.0,1046.0
2021,J.Waddle,00-0036613,1015.0,1356.0
2021,K.Pitts,00-0036970,1026.0,356.0
2021,M.Andrews,00-0034753,1365.0,849.0
2021,M.Brown,00-0035662,1008.0,37.0
2021,M.Pittman,00-0036252,1084.0,925.0
2021,T.Higgins,00-0036410,1093.0,1031.0
