Rk,Player,Tm,Age,Pos,G,GS,Int,Tgt,Cmp,Cmp%,Yds,Yds/Cmp,Yds/Tgt,TD,Rat,DADOT,Air,YAC,Bltz,Hrry,QBKD,Sk,Prss,Comb,MTkl,MTkl%,-9999
1,Foyesade Oluokun,JAX,27,LB,17,17,0,90,71,78.90%,561,7.9,6.2,1,96.3,3.4,187,374,39,0,7,2,9,184,10,5.20%,OluoFo00
2,Nick Bolton,KAN,22,LB,17,17,2,74,61,82.40%,580,9.5,7.8,1,92.6,3.7,214,366,37,1,4,2,7,180,7,3.70%,BoltNi00
3,Jordyn Brooks,SEA,25,LB,16,16,0,75,54,72.00%,689,12.8,9.2,5,122.6,5,194,495,17,3,2,1,6,161,11,6.40%,BrooJo01
4,Roquan Smith*+,2TM,25,LB,17,17,3,69,49,71.00%,419,8.6,6.1,2,78.1,4.4,153,266,32,5,0,4.5,10,169,8,4.50%,SmitRo07
5,Zaire Franklin,IND,26,LB,17,17,0,73,55,75.30%,459,8.3,6.3,0,91.1,2.9,102,357,28,0,2,3,6,167,17,9.20%,FranZa00
6,Alex Singleton,DEN,29,LB,17,12,0,77,59,76.60%,425,7.2,5.5,2,97.6,3.3,124,301,42,5,3,0,8,163,7,4.10%,SingAl00
7,T.J. Edwards,PHI,26,LB,17,17,0,76,53,69.70%,400,7.5,5.3,0,82.1,2.6,79,321,23,4,3,2,9,159,11,6.50%,EdwaTJ02
8,C.J. Mosley*,NYJ,30,LB,17,17,1,87,57,65.50%,643,11.3,7.4,3,94.2,5.7,278,365,13,1,2,1,4,158,7,4.20%,MoslC.00
9,Bobby Okereke,IND,26,LB,17,16,0,82,58,70.70%,515,8.9,6.3,1,91.3,4,130,385,21,1,0,0,1,151,11,6.80%,OkerBo00
10,Jalen Pitre,HOU,23,DB,17,17,5,63,41,65.10%,662,16.1,10.5,4,88.2,13.3,477,185,7,1,0,1,2,147,19,11.40%,PitrJa00
11,Drue Tranquill,LAC,27,LB,17,16,1,43,37,86.00%,376,10.2,8.7,1,101.2,5.5,163,213,36,1,3,5,9,146,9,5.80%,TranDr00
12,Eric Kendricks,MIN,30,LB,17,17,0,85,63,74.10%,583,9.3,6.9,2,100.3,3.5,202,381,32,3,1,1,5,137,12,8.10%,KendEr00
13,Rashaan Evans,ATL,27,LB,17,17,0,58,45,77.60%,480,10.7,8.3,2,112.6,6.5,276,204,31,1,1,2,4,159,3,1.90%,EvanRa01
14,Jordan Hicks,MIN,30,LB,17,17,1,63,48,76.20%,562,11.7,8.9,1,101.4,3.7,156,406,17,1,1,3,5,129,8,5.80%,HickJo00
15,Cody Barton,SEA,26,LB,17,11,2,51,44,86.30%,382,8.7,7.5,2,94.6,3.4,133,249,12,0,0,2,2,136,1,0.70%,BartCo00
16,Jonathan Owens,HOU,27,DB,17,17,0,42,28,66.70%,474,16.9,11.3,3,128.5,10.6,293,181,4,0,0,1,1,125,8,6.00%,OwenJo01
17,Nicholas Morrow,CHI,27,LB,17,17,1,44,33,75.00%,333,10.1,7.6,2,101.8,6.5,150,183,24,5,0,0,5,116,6,4.90%,MorrNi00
18,Logan Wilson,CIN,26,LB,15,15,1,74,55,74.30%,489,8.9,6.6,1,90.4,4.2,210,279,38,3,4,2.5,10,123,6,4.70%,WilsLo00
19,Dre Greenlaw,SFO,25,LB,15,15,1,89,70,78.70%,483,6.9,5.4,1,88.3,2.9,163,320,23,2,0,0,2,127,9,6.60%,GreeDr00
20,Christian Kirksey,HOU,30,LB,17,17,2,60,45,75.00%,407,9,6.8,2,90.1,5.3,166,241,32,1,4,3,9,124,10,7.50%,KirkCh00
21,Bobby Wagner,LAR,32,LB,17,17,2,48,33,68.80%,359,10.9,7.5,2,87.1,1.4,56,303,49,2,2,6,10,140,2,1.40%,WagnBo00
22,Lavonte David,TAM,32,LB,17,17,0,73,55,75.30%,376,6.8,5.2,1,90.9,3.7,156,220,24,0,0,3,3,124,9,6.80%,DaviLa00
23,Julian Love,NYG,24,S,16,16,2,50,34,68.00%,333,9.8,6.7,3,89.8,9.5,180,153,16,1,0,1,2,124,5,3.90%,LoveJu00
24,Patrick Queen,BAL,23,LB,17,17,2,66,51,77.30%,464,9.1,7,0,83.1,3.4,136,328,64,3,7,5,17,117,9,7.10%,QueePa00
25,Jalen Thompson,ARI,24,S,17,17,1,56,38,67.90%,512,13.5,9.1,4,113.1,10.5,277,235,3,0,1,0,1,110,4,3.50%,ThomJa04
26,Fred Warner*+,SFO,26,LB,17,17,1,68,41,60.30%,438,10.7,6.4,0,73,4.3,142,296,35,2,3,2,8,130,8,5.80%,WarnFr00
27,Shaq Thompson,CAR,28,LB,17,17,0,70,47,67.10%,379,8.1,5.4,2,90.1,2.8,90,289,35,1,1,0.5,3,135,11,7.50%,ThomSh01
28,Alex Anzalone,DET,28,LB,17,17,1,46,32,69.60%,318,9.9,6.9,0,79.8,5.7,129,189,60,5,3,1.5,10,125,10,7.40%,AnzaAl00
29,Jevon Holland,MIA,22,S,17,17,2,49,38,77.60%,516,13.6,10.5,3,113.9,9.9,343,173,21,3,0,1.5,5,96,5,5.00%,HollJe02
30,Donovan Wilson,DAL,27,S,17,17,1,39,20,51.30%,166,8.3,4.3,2,69,9.6,96,70,30,3,4,5,12,101,9,8.20%,WilsDo01
31,Frankie Luvu,CAR,26,LB,15,14,1,48,34,70.80%,277,8.1,5.8,3,97.3,1.6,71,206,57,3,3,7,13,111,7,5.90%,LuvuFr00
32,Budda Baker*,ARI,26,S,15,15,2,40,30,75.00%,282,9.4,7.1,3,98.1,5,108,174,55,5,1,0,6,111,14,11.20%,BakeBu00
33,L'Jarius Sneed,KAN,25,CB,17,17,3,104,69,66.30%,649,9.4,6.2,4,84.2,6.8,312,337,40,3,3,3.5,10,108,5,4.40%,SneeLJ00
34,Quay Walker,GNB,22,LB,17,16,0,45,24,53.30%,184,7.7,4.1,0,63.6,3,32,152,52,2,3,1.5,7,121,6,4.70%,WalkQu00
35,Quincy Williams,NYJ,26,LB,15,15,0,51,44,86.30%,306,7,6,0,91.7,3.8,170,136,10,0,3,3,7,106,9,7.80%,WillQu01
36,Adrian Amos,GNB,29,S,17,17,1,50,35,70.00%,428,12.2,8.6,3,107.7,8.8,310,118,10,1,2,1,4,102,4,3.80%,AmosAd00
37,Jaquan Brisker,CHI,23,DB,15,15,1,48,27,56.30%,352,13,7.3,4,98.6,9.5,209,143,15,1,0,4,5,104,7,6.30%,BrisJa01
38,DeShon Elliott,DET,25,S,14,13,1,38,31,81.60%,552,17.8,14.5,2,125.3,15.6,432,120,16,2,1,0,3,96,5,5.00%,ElliDe02
39,Rayshawn Jenkins,JAX,28,S,17,17,3,55,39,70.90%,450,11.5,8.2,1,78.6,8.8,259,191,23,5,2,1,8,116,18,13.40%,JenkRa00
40,Devin White,TAM,24,LB,17,17,0,60,46,76.70%,400,8.7,6.7,2,104.9,2.8,137,263,65,7,9,5.5,22,124,11,8.10%,WhitDe02
41,Grant Delpit,CLE,24,S,17,16,4,41,21,51.20%,352,16.8,8.6,5,80.5,12.4,190,162,13,0,0,0,0,105,9,7.90%,DelpGr00
42,Matt Milano*+,BUF,28,LB,15,15,3,68,45,66.20%,388,8.6,5.7,0,62.6,3.7,129,259,36,3,5,1.5,10,99,13,11.60%,MilaMa00
43,Marcus Epps,PHI,26,S,17,17,0,52,38,73.10%,470,12.4,9,6,139.1,9.2,290,180,6,1,0,0,1,94,10,9.60%,EppsMa00
44,Richie Grant,ATL,25,S,17,17,2,62,39,62.90%,446,11.4,7.2,3,87.2,10.1,240,206,11,1,1,0,2,123,8,6.10%,GranRi00
45,Josey Jewell,DEN,28,LB,13,13,2,66,52,78.80%,525,10.1,8,2,97.3,3.9,147,378,43,0,2,2.5,5,128,9,6.60%,JeweJo00
46,John Johnson,CLE,27,S,17,17,1,49,27,55.10%,429,15.9,8.8,1,82.8,11.8,270,159,5,1,1,0.5,3,101,10,9.00%,JohnJo10
47,Roger McCreary,TEN,22,CB,17,17,1,108,73,67.60%,850,11.6,7.9,6,105.9,9.2,581,269,16,2,0,0,2,84,8,8.70%,McCrRo01
48,Kevin Byard,TEN,29,S,17,17,4,71,46,64.80%,610,13.3,8.6,2,77.8,7.9,365,245,13,2,0,0,2,108,4,3.60%,ByarKe01
49,Rasul Douglas,GNB,28,CB,17,12,4,84,54,64.30%,583,10.8,6.9,6,88.5,7.5,312,271,3,0,0,1,1,85,6,6.60%,DougRa00
50,Jamin Davis,WAS,24,LB,16,15,0,52,33,63.50%,315,9.5,6.1,1,86.6,2.6,80,235,37,3,3,3,9,104,3,2.80%,DaviJa11
51,Elandon Roberts,MIA,28,LB,17,17,0,35,28,80.00%,304,10.9,8.7,2,121.9,5.2,107,197,33,0,2,4.5,7,107,8,7.00%,RobeEl00
52,Isaiah Simmons,ARI,24,LB,17,13,2,70,54,77.10%,518,9.6,7.4,4,104.3,5.1,217,301,39,2,0,4,6,99,5,4.80%,SimmIs00
53,Taron Johnson,BUF,26,CB,16,15,1,100,65,65.00%,592,9.1,5.9,7,100.1,4.5,270,322,19,1,0,0,1,90,3,3.20%,JohnTa01
54,Jerome Baker,MIA,26,LB,17,17,0,68,54,79.40%,364,6.7,5.4,2,98.8,3,88,276,47,1,3,4,9,100,10,9.10%,BakeJe00
55,Tremaine Edmunds,BUF,24,LB,13,13,1,60,39,65.00%,296,7.6,4.9,0,69.9,4.4,134,162,18,0,2,1,3,102,1,1.00%,EdmuTr01
56,Talanoa Hufanga*+,SFO,23,S,17,17,4,55,35,63.60%,399,11.4,7.3,6,91.4,8.9,240,159,28,2,1,2,5,97,8,7.60%,HufaTa00
57,Ernest Jones,LAR,23,LB,17,11,1,53,42,79.20%,333,7.9,6.3,0,85,3.4,128,205,13,1,1,0,2,114,7,5.80%,JoneEr01
58,Harrison Smith,MIN,33,S,14,14,5,39,31,79.50%,350,11.3,9,1,73,10.3,241,109,9,1,0,0,1,85,2,2.30%,SmitHa00
59,Kyzir White,PHI,26,LB,17,8,0,65,42,64.60%,288,6.9,4.4,0,74.4,2.4,69,219,20,0,1,1.5,3,110,5,4.30%,WhitKy00
60,Derwin James*,LAC,26,S,14,14,2,58,38,65.50%,398,10.5,6.9,2,82.4,8,231,167,23,2,1,4,7,115,5,4.20%,JameDe00
61,Tyrann Mathieu,NOR,30,S,17,17,3,59,37,62.70%,387,10.5,6.6,3,77.4,7.7,204,183,15,0,1,1,2,91,6,6.20%,MathTy00
62,Jalen Ramsey*,LAR,28,DB,17,17,4,91,57,62.60%,659,11.6,7.2,5,84.5,9.1,435,224,21,2,0,2,4,88,3,3.30%,RamsJa00
63,Antoine Winfield Jr.,TAM,24,S,13,13,1,47,31,66.00%,344,11.1,7.3,4,107,8.7,219,125,18,1,2,4,7,80,2,2.40%,WinfAn00
64,Zaven Collins,ARI,23,LB,16,16,1,63,46,73.00%,416,9,6.6,2,94.4,2.6,48,368,58,4,2,2,8,100,8,7.40%,CollZa00
65,Damar Hamlin,BUF,24,S,15,13,0,35,25,71.40%,454,18.2,13,3,142.3,11,237,217,16,0,1,1.5,3,91,7,7.10%,HamlDa00
66,Duron Harmon,LVR,31,S,17,16,2,57,44,77.20%,693,15.8,12.2,3,120,9,373,320,15,0,0,0,0,86,6,6.50%,HarmDu00
67,Michael Jackson,SEA,25,CB,17,17,1,86,48,55.80%,488,10.2,5.7,2,75.1,10.3,348,140,3,0,1,0,1,75,6,7.40%,JackMi01
68,Kader Kohou,MIA,24,CB,15,13,1,115,68,59.10%,698,10.3,6.1,3,81.7,8.5,437,261,6,0,0,0,0,72,8,10.00%,KohoKa00
69,D.J. Reed,NYJ,26,CB,17,17,1,85,54,63.50%,489,9.1,5.8,2,81.9,11.7,323,166,2,0,0,0,0,80,6,7.00%,ReedD.00
70,Ja'Whaun Bentley,NWE,26,LB,17,17,1,47,37,78.70%,321,8.7,6.8,0,86.3,2.6,65,256,51,6,2,3,11,125,10,7.40%,BentJa00
71,Malcolm Rodriguez,DET,23,LB,16,15,0,44,30,68.20%,321,10.7,7.3,1,96.9,4.7,152,169,24,3,1,1,5,87,5,5.40%,RodrMa00
72,Chuck Clark,BAL,27,S,17,17,0,43,32,74.40%,270,8.4,6.3,1,98,5.5,123,147,14,1,0,0,1,101,4,3.80%,ClarCh00
73,C.J. Gardner-Johnson,PHI,25,S,12,12,6,52,38,73.10%,446,11.7,8.6,3,78.4,11,323,123,10,1,1,1,3,67,11,14.10%,GardCh00
74,Myles Jack,PIT,27,LB,15,13,0,55,42,76.40%,390,9.3,7.1,2,107.4,4.4,171,219,21,0,1,0,1,104,7,6.30%,JackMy00
75,Eddie Jackson,CHI,29,DB,12,12,4,34,21,61.80%,348,16.6,10.2,1,66.4,12.5,250,98,5,0,0,0,0,80,9,10.10%,JackEd01
76,Desmond King,HOU,28,DB,17,13,2,56,40,71.40%,365,9.1,6.5,2,85.8,6.9,204,161,8,1,1,0,2,89,7,7.30%,KingDe01
77,Devin Lloyd,JAX,24,LB,17,15,3,79,61,77.20%,648,10.6,8.2,4,101.7,5,236,412,38,1,2,0,3,115,14,10.90%,LloyDe00
78,Rodney McLeod,IND,32,S,17,15,2,68,46,67.60%,455,9.9,6.7,5,98.6,7.3,223,232,10,1,0,0,1,96,6,5.90%,McLeRo00
79,Jeff Okudah,DET,23,CB,15,15,1,77,46,59.70%,681,14.8,8.8,1,87.6,10.9,411,270,2,0,0,0,0,73,6,7.60%,OkudJe00
80,Justin Reid,KAN,25,S,17,17,0,58,37,63.80%,388,10.5,6.7,4,106.1,7.2,243,145,34,1,3,1,5,83,8,8.80%,ReidJu00
81,Charvarius Ward,SFO,26,CB,17,17,1,95,54,56.80%,612,11.3,6.4,3,82.4,9.7,410,202,3,0,0,0,0,87,0,0.00%,WardCh01
82,Christian Wilkins,MIA,27,DT,17,17,0,1,1,100.00%,4,4,4,0,83.3,-5,-5,9,1,8,2,3.5,15,98,1,1.00%,WilkCh00
83,Maxx Crosby*,LVR,25,DE,17,17,0,4,2,50.00%,10,5,2.5,0,56.2,-2.5,-3,13,13,12,21,12.5,47,89,4,4.30%,CrosMa00
84,Kamren Curl,WAS,23,S,12,12,0,39,30,76.90%,312,10.4,8,2,116.6,5.5,173,139,8,0,0,1,1,83,4,4.60%,CurlKa00
85,Taylor Rapp,LAR,25,DB,16,16,2,53,38,71.70%,344,9.1,6.5,4,98.3,6.5,174,170,9,0,1,0,1,92,6,6.10%,RappTa00
86,Jordan Whitehead,NYJ,25,S,17,17,2,42,23,54.80%,301,13.1,7.2,3,81.5,10.7,167,134,5,0,0,0,0,89,8,8.20%,WhitJo03
87,Nate Hobbs,LVR,23,CB,11,11,0,77,58,75.30%,622,10.7,8.1,5,120.2,8.3,389,233,3,0,0,1,1,72,7,8.90%,HobbNa00
88,De'Vondre Campbell,GNB,29,LB,13,13,2,55,44,80.00%,362,8.2,6.6,0,78.9,2.7,108,254,19,2,1,0,3,96,6,5.90%,CampDe00
89,Minkah Fitzpatrick*+,PIT,26,S,15,15,6,54,33,61.10%,516,15.6,9.6,5,84.1,10.5,314,202,11,1,1,0,2,96,5,5.00%,FitzMi00
90,Darrick Forrest,WAS,23,S,17,11,4,55,30,54.50%,448,14.9,8.1,4,75.4,12.3,286,162,7,0,0,0,0,88,3,3.30%,ForrDa00
91,Jonathan Jones,NWE,29,DB,16,16,4,91,48,52.70%,588,12.3,6.5,5,73,12.2,368,220,1,0,0,0,0,69,7,9.20%,JoneJo03
92,Patrick Peterson,MIN,32,CB,17,17,5,89,53,59.60%,696,13.1,7.8,5,79.6,11.1,387,309,2,0,0,0,0,66,3,4.30%,PetePa00
93,Nick Scott,LAR,27,DB,17,16,2,58,46,79.30%,601,13.1,10.4,4,118.5,7.9,322,279,1,0,0,0,0,86,10,10.40%,ScotNi01
94,Mykal Walker,ATL,25,LB,16,12,2,53,44,83.00%,374,8.5,7.1,0,80.3,3.6,163,211,16,1,0,1,2,107,6,5.30%,WalkMy00
95,Pete Werner,NOR,23,LB,12,11,0,39,28,71.80%,212,7.6,5.4,1,93.1,2.8,41,171,15,2,0,0,2,80,4,4.80%,WernPe00
96,Tyson Campbell,JAX,22,CB,17,17,3,83,45,54.20%,433,9.6,5.2,6,78,11.3,299,134,1,0,0,0,0,70,5,6.70%,CampTy01
97,Kyler Gordon,CHI,23,DB,14,14,3,82,63,76.80%,764,12.1,9.3,3,101.9,7.4,418,346,18,1,0,0,1,71,2,2.70%,GordKy00
98,Kareem Jackson,DEN,34,S,17,17,0,59,34,57.60%,470,13.8,8,3,100.2,9.2,252,218,2,0,0,0,0,94,16,14.50%,JackKa99
99,Kerby Joseph,DET,22,S,17,14,4,40,25,62.50%,294,11.8,7.4,6,84.8,13.9,213,81,4,0,1,0,1,82,7,7.90%,JoseKe03
100,Jayron Kearse,DAL,28,S,14,14,1,41,28,68.30%,319,11.4,7.8,0,81.2,5.4,167,152,28,2,0,2,4,77,2,2.50%,KearJa00
101,Demario Davis*,NOR,33,LB,17,17,1,49,33,67.30%,274,8.3,5.6,2,86.6,3,61,213,26,1,2,6.5,10,109,10,8.40%,DaviDe00
102,Deommodore Lenoir,SFO,23,DB,17,13,1,83,55,66.30%,695,12.6,8.4,1,91.2,8.9,418,277,13,1,1,1,3,79,9,10.20%,LenoDe00
103,Damarri Mathis,DEN,23,CB,16,11,0,81,56,69.10%,513,9.2,6.3,1,90.2,8.2,335,178,3,0,0,0,0,65,15,18.80%,MathDa00
104,Bobby McCain,WAS,29,S,17,16,0,52,41,78.80%,404,9.9,7.8,2,111.9,7.3,238,166,14,1,1,0,2,76,2,2.60%,McCaBo01
105,Devin McCourty,NWE,35,DB,17,17,4,37,19,51.40%,273,14.4,7.4,4,72.1,13.4,210,63,2,0,0,0,0,71,5,6.60%,McCoDe99
106,Denzel Perryman,LVR,30,LB,12,11,2,29,21,72.40%,119,5.7,4.1,1,62.3,1.8,18,101,46,2,4,1,7,83,7,7.80%,PerrDe00
107,Leighton Vander Esch,DAL,26,LB,14,14,0,31,24,77.40%,214,8.9,6.9,0,95.4,3.8,87,127,17,2,0,1,3,90,3,3.20%,VandLe00
108,Carlton Davis,TAM,26,CB,13,13,1,93,52,55.90%,622,12,6.7,3,82.8,9.5,356,266,3,0,1,0,1,65,5,7.10%,DaviCa02
109,Stephon Gilmore,IND,32,CB,16,16,2,89,50,56.20%,577,11.5,6.5,2,74,8.8,332,245,0,0,0,0,0,66,5,7.00%,GilmSt00
110,Marlon Humphrey*,BAL,26,CB,17,17,3,79,51,64.60%,590,11.6,7.5,3,83.8,9.6,420,170,7,2,1,3,6,71,1,1.40%,HumpMa00
111,Xavier Woods,CAR,27,S,15,15,0,55,33,60.00%,452,13.7,8.2,1,92.4,11.3,246,206,20,1,1,0,2,86,6,6.50%,WoodXa00
112,Vonn Bell,CIN,28,S,16,16,4,53,36,67.90%,468,13,8.8,0,64,9.1,271,197,25,1,2,1,5,77,6,7.20%,BellVo00
113,Coby Bryant,SEA,23,CB,17,6,0,72,54,75.00%,657,12.2,9.1,3,116.5,7.3,301,356,12,0,2,2,4,70,7,9.10%,BryaCo01
114,Mike Edwards,TAM,26,S,13,12,2,48,32,66.70%,488,15.3,10.2,4,110.4,14.5,310,178,22,2,1,1,4,82,5,5.70%,EdwaMi01
115,David Long,TEN,26,LB,12,12,2,53,39,73.60%,336,8.6,6.3,0,74.1,3.1,126,210,22,3,3,0,6,86,10,10.40%,LongDa04
116,Robert Spillane,PIT,27,LB,16,5,0,43,36,83.70%,359,10,8.3,1,109.2,5.1,167,192,42,1,1,1,3,79,5,6.00%,SpilRo00
117,Paulson Adebo,NOR,23,CB,13,12,0,76,50,65.80%,664,13.3,8.7,6,119.6,10.8,418,246,1,0,0,0,0,60,9,13.00%,AdebPa00
118,Jeremy Chinn,CAR,24,S,11,11,0,50,34,68.00%,414,12.2,8.3,0,93.2,11,298,116,13,1,0,1,2,70,5,6.70%,ChinJe00
119,Martin Emerson,CLE,22,CB,17,6,0,91,46,50.50%,490,10.7,5.4,3,77.6,10.4,380,110,3,0,0,1,1,63,6,8.70%,EmerMa00
120,Sauce Gardner*+,NYJ,22,CB,17,17,2,86,46,53.50%,452,9.8,5.3,1,62.7,12.5,277,175,5,0,1,0,1,75,5,6.30%,GardSa00
121,Willie Gay Jr.,KAN,24,LB,13,13,1,52,42,80.80%,338,8,6.5,1,92.1,2.1,70,268,30,0,1,2.5,4,88,9,9.30%,GayJWi00
122,Michael Carter,NYJ,23,CB,17,6,2,77,50,64.90%,473,9.5,6.1,1,75.3,4.8,152,321,16,3,0,0,3,63,1,1.60%,CartMi02
123,Quandre Diggs*,SEA,29,FS,17,17,4,35,20,57.10%,350,17.5,10,4,89.9,13.9,216,134,4,0,1,0,1,71,6,7.80%,DiggQu00
124,Trevon Diggs*,DAL,24,CB,17,17,3,85,55,64.70%,673,12.2,7.9,3,86.1,9.8,369,304,1,0,0,0,0,59,1,1.70%,DiggTr00
125,Kyle Dugger,NWE,26,DB,15,15,3,55,38,69.10%,369,9.7,6.7,5,95.2,8.4,236,133,26,1,1,1,3,78,7,8.20%,DuggKy00
126,C.J. Henderson,CAR,24,CB,17,10,2,84,58,69.00%,684,11.8,8.1,5,103.5,10.5,501,183,2,1,0,0,1,58,7,10.80%,HendCJ00
127,Kenny Moore,IND,27,CB,12,12,0,48,34,70.80%,412,12.1,8.6,3,117.7,8.5,225,187,11,0,0,1,1,65,5,7.10%,MoorKe03
128,Fabian Moreau,NYG,28,DB,14,11,0,81,48,59.30%,553,11.5,6.8,5,100.5,12.7,394,159,1,0,0,0,0,66,3,4.30%,MoreFa00
129,Kenneth Murray,LAC,24,LB,17,16,1,45,33,73.30%,270,8.2,6,1,86.3,2.7,68,202,26,2,3,1,6,76,7,8.40%,MurrKe00
130,Germaine Pratt,CIN,26,LB,15,15,2,40,25,62.50%,196,7.8,4.9,1,62.1,3.5,68,128,24,2,0,1,3,99,5,4.80%,PratGe00
131,Jack Sanborn,CHI,22,LB,14,6,0,17,13,76.50%,119,9.2,7,0,95,3.3,36,83,13,0,1,2,3,64,3,4.50%,SanbJa00
132,Camryn Bynum,MIN,24,S,17,17,2,44,29,65.90%,479,16.5,10.9,8,123,14.3,358,121,1,0,0,0,0,81,5,5.80%,BynuCa00
133,Andre Cisco,JAX,22,S,15,15,3,29,22,75.90%,365,16.6,12.6,4,117.4,8.7,200,165,14,0,0,1,1,73,3,3.90%,CiscAn00
134,Dane Jackson,BUF,26,CB,15,14,2,78,46,59.00%,538,11.7,6.9,3,82.1,10.1,412,126,4,0,0,0,0,57,7,10.90%,JackDa02
135,Michael Davis,LAC,27,CB,17,12,1,70,34,48.60%,337,9.9,4.8,2,66.2,11.5,218,119,3,0,0,1,1,62,1,1.60%,DaviMi03
136,Mike Hilton,CIN,28,CB,14,4,1,69,43,62.30%,430,10,6.2,1,78.8,6.7,235,195,30,0,4,0,4,60,6,9.10%,HiltMi01
137,Asante Samuel Jr.,LAC,23,CB,17,15,2,87,48,55.20%,626,13,7.2,7,95.3,11,427,199,0,0,0,0,0,57,3,5.00%,SamuAs00
138,Kyle Hamilton,BAL,21,S,16,4,0,49,36,73.50%,279,7.8,5.7,1,93.8,3.3,147,132,24,1,3,2,6,62,5,7.50%,HamiKy00
139,Christian Harris,HOU,21,LB,12,11,1,46,33,71.70%,295,8.9,6.4,0,79.5,2.9,73,222,9,0,2,1,3,74,10,11.90%,HarrCh06
140,Danielle Hunter*,MIN,28,OLB,17,17,0,8,8,100.00%,64,8,8,0,100,1.3,10,54,23,11,11,10.5,34,65,3,4.40%,HuntDa01
141,Jaylon Smith,NYG,27,LB,13,11,0,28,23,82.10%,224,9.7,8,0,100,5.5,92,132,21,2,1,1,4,88,0,0.00%,SmitJa05
